track_name,artists,album_name,year,popularity
Blinding Lights,The Weeknd,After Hours,2019,91
Sweater Weather,The Neighbourhood,I Love You.,2012,93
As It Was,Harry Styles,As It Was,2022,95
I Wanna Be Yours,Arctic Monkeys,AM,2013,92
Another Love,Tom Odell,Long Way Down (Deluxe),2012,93
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,1985,90
Dandelions,Ruth B.,Safe Haven,2017,90
Atlantis,Seafret,Tell Me It's Real (Expanded Edition),2015,90
Under The Influence,Chris Brown,Indigo (Extended),2019,96
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,2020,90
"Sex, Drugs, Etc.",Beach Weather,Chit Chat,2016,90
Until I Found You,Stephen Sanchez,Until I Found You,2021,90
